Q100_1,Q100_1_URX,Q100_1_URUN,Q100_1_URACMS,Q100_1_URXc,Non-Urban City,Non-Urban Town,Non-Urban Village,Unclassified City,Unclassified Town,Unclassified Village,Urban City,Urban Town,Urban Village
"('nan', 'nan', 'nan')",Unclassified Village,Unclassified,Village,69,0.0,0.0,0.0,17.0,23.0,69.0,0.0,0.0,0.0
"('Accra', 'Accra', 'Ghana')",Urban Town,Urban,Town,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0
"('Johannesburg', 'Johannesburg', 'South Africa')",Urban Town,Urban,Town,35,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,1.0
"('Kisumu', 'Kisumu', 'Kenya')",Urban Village,Urban,Village,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,24.0
"('Nairobi', 'Nairobi', 'Kenya')",Urban Town,Urban,Town,21,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,7.0
"('Madina', 'Accra', 'Ghana')",Urban City,Urban,City,19,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
"('Germiston', 'Germiston', 'South Africa')",Urban Town,Urban,Town,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0
"('Lagos', 'Lagos', 'Nigeria')",Unclassified Town,Unclassified,Town,17,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0
"('Tamale', 'Tamale', 'Ghana')",Urban Town,Urban,Town,17,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,8.0
"('Uvira', 'Uvira', 'Democratic Republic of the Congo')",Non-Urban Village,Non-Urban,Village,17,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Machakos', 'Machakos', 'Kenya')",Urban Village,Urban,Village,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0
"('Kisii', 'Kisii', 'Kenya')",Urban Village,Urban,Village,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0
"('Siaya', 'Siaya', 'Kenya')",Non-Urban Village,Non-Urban,Village,15,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Kakamega', 'Kakamega', 'Kenya')",Urban Village,Urban,Village,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0
"('Bulawayo', 'Bulawayo', 'Zimbabwe')",Urban Village,Urban,Village,14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,14.0
"('Niamey', 'Niamey', 'Niger')",Urban Town,Urban,Town,13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,5.0
"('Lome', 'Lome', 'Togo')",Urban Town,Urban,Town,13,0.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,2.0
"(' Fourways', ' Fourways', 'South Africa')",Urban Town,Urban,Town,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0
"('Madina', 'Madina', 'Ghana')",Urban City,Urban,City,11,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0
"('Bolgatanga', 'Bolgatanga', 'Ghana')",Non-Urban Town,Non-Urban,Town,11,0.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Kitui', 'Kitui', 'Kenya')",Non-Urban Village,Non-Urban,Village,11,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Enugu', 'Enugu', 'Nigeria')",Urban Town,Urban,Town,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.0
"('Minembwe', 'Minembwe', 'Democratic Republic of the Congo')",Non-Urban Village,Non-Urban,Village,10,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Katlehong', 'Katlehong', 'South Africa')",Urban City,Urban,City,10,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
"('Busia', 'Busia', 'Kenya')",Urban Village,Urban,Village,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0
"('Thohoyandou', 'Thohoyandou', 'South Africa')",Urban Village,Urban,Village,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
"('Migori', 'Migori', 'Kenya')",Non-Urban Village,Non-Urban,Village,9,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
"('Old Fadama', 'Accra', 'Ghana')",Urban City,Urban,City,9,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
"('Alberton', 'Alberton', 'South Africa')",Urban Town,Urban,Town,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0
"('Koforidua', 'Koforidua', 'Ghana')",Urban Town,Urban,Town,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0
"('Diepsloot', 'Diepsloot', 'South Africa')",Urban City,Urban,City,9,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
"('Cape Coast', 'Cape Coast', 'Ghana')",Urban Town,Urban,Town,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0
"('Bukavu', 'Bukavu', 'Democratic Republic of the Congo')",Urban Village,Urban,Village,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0
"('Maputo', 'Maputo', 'Mozambique')",Urban Village,Urban,Village,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0
"('Nyamira', 'Nyamira', 'Kenya')",Urban Village,Urban,Village,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0
"('Adenta', 'Adenta', 'Ghana')",Urban Town,Urban,Town,7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,0.0
"('Polokwane', 'Polokwane', 'South Africa')",Urban Village,Urban,Village,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
